Disease,Diet
Cataracts,"['Antioxidant-rich foods', 'Vitamin C-rich foods', 'Vitamin E-rich foods', 'Lutein and zeaxanthin-rich foods', 'Omega-3 fatty acids']"
Glaucoma,"['Low-sodium diet', 'Foods high in antioxidants', 'Green leafy vegetables', 'Omega-3 fatty acids', 'Magnesium-rich foods']"
Macular degeneration,"['Antioxidant-rich foods', 'Lutein and zeaxanthin-rich foods', 'Omega-3 fatty acids', 'Vitamin E-rich foods', 'Zinc-rich foods']"
Diabetic retinopathy,"['Low-glycemic diet', 'Foods with a low glycemic index', 'Omega-3 fatty acids', 'Antioxidant-rich foods', 'Vitamin D-rich foods']"
Retinal detachment,"['Omega-3 fatty acids', 'Foods high in vitamin C', 'Foods high in vitamin E', 'Foods high in zinc', 'Antioxidant-rich foods']"
Conjunctivitis,"['Antioxidant-rich foods', 'Foods high in vitamin A', 'Foods high in vitamin C', 'Omega-3 fatty acids', 'Probiotics']"
Dry eye syndrome,"['Hydration', 'Omega-3 fatty acids', 'Foods rich in vitamin A', 'Foods rich in vitamin D', 'Foods rich in omega-6 fatty acids']"
Blepharitis,"['Omega-3 fatty acids', 'Foods rich in vitamin A', 'Foods rich in vitamin D', 'Probiotics', 'Low-glycemic foods']"
Keratitis,"['Antioxidant-rich foods', 'Foods high in vitamin A', 'Foods high in vitamin C', 'Omega-3 fatty acids', 'Zinc-rich foods']"
Strabismus,"['Balanced diet', 'Foods high in vitamin A', 'Foods high in vitamin C', 'Foods high in vitamin E', 'Foods high in zinc']"
Amblyopia,"['Balanced diet', 'Foods high in vitamin A', 'Foods high in vitamin C', 'Foods high in vitamin E', 'Foods high in zinc']"
Astigmatism,"['Foods rich in vitamin A', 'Foods rich in vitamin C', 'Foods rich in vitamin E', 'Foods rich in zinc', 'Foods rich in omega-3 fatty acids']"
Presbyopia,"['Balanced diet', 'Foods high in antioxidants', 'Foods high in vitamin A', 'Foods high in vitamin C', 'Foods high in vitamin E']"
Night blindness,"['Foods rich in vitamin A', 'Foods rich in beta-carotene', 'Foods rich in zinc', 'Foods rich in omega-3 fatty acids', 'Foods rich in vitamin E']"
Ocular migraines,"['Avoid migraine triggers', 'Hydration', 'Magnesium-rich foods', 'Omega-3 fatty acids', 'Foods high in vitamin B2 (riboflavin)']"
Retinitis pigmentosa,"['Antioxidant-rich foods', 'Lutein and zeaxanthin-rich foods', 'Omega-3 fatty acids', 'Foods high in vitamin A', 'Foods high in vitamin E']"
Uveitis,"['Anti-inflammatory diet', 'Omega-3 fatty acids', 'Turmeric', 'Ginger', 'Foods high in vitamin C']"
Optic neuritis,"['Anti-inflammatory diet', 'Omega-3 fatty acids', 'Foods high in vitamin C', 'Foods high in vitamin D', 'Foods high in vitamin E']"
Corneal abrasion,"['Foods high in vitamin A', 'Foods high in vitamin C', 'Foods high in vitamin E', 'Zinc-rich foods', 'Protein-rich foods']"
Eyelid twitching,"['Hydration', 'Magnesium-rich foods', 'Foods high in vitamin B12', 'Foods high in calcium', 'Foods high in potassium']"
