Unnamed: 0,disease,workout
0,Conjunctivitis,Avoid allergenic foods
1,Conjunctivitis,Consume anti-inflammatory foods
2,Conjunctivitis,Include omega-3 fatty acids
3,Conjunctivitis,Stay hydrated
4,Conjunctivitis,Eat foods rich in vitamin C
5,Conjunctivitis,Include quercetin-rich foods
6,Conjunctivitis,Consume local honey
7,Conjunctivitis,Limit processed foods
8,Conjunctivitis,Include ginger in diet
9,Conjunctivitis,Avoid artificial additives
10,Dry_eye_syndrome,Consume smaller meals
11,Dry_eye_syndrome,Avoid trigger foods (spicy, fatty)
12,Dry_eye_syndrome,Eat high-fiber foods
13,Dry_eye_syndrome,Limit caffeine and alcohol
14,Dry_eye_syndrome,Chew food thoroughly
15,Dry_eye_syndrome,Avoid late-night eating
16,Dry_eye_syndrome,Consume non-citrus fruits
17,Dry_eye_syndrome,Include lean proteins
18,Dry_eye_syndrome,Stay hydrated
19,Dry_eye_syndrome,Avoid carbonated beverages
20,Blepharitis,Consume a low-fat diet
21,Blepharitis,Eat high-fiber foods
22,Blepharitis,Include healthy fats
23,Blepharitis,Limit alcohol consumption
24,Blepharitis,Stay hydrated
25,Blepharitis,Consume antioxidant-rich foods
26,Blepharitis,Include omega-3 fatty acids
27,Blepharitis,Include lean proteins
28,Blepharitis,Limit processed foods
29,Blepharitis,Avoid fried foods
30,Keratitis,Discontinue offending medication
31,Keratitis,Stay hydrated
32,Keratitis,Include anti-inflammatory foods
33,Keratitis,Consume antioxidants
34,Keratitis,Avoid trigger foods
35,Keratitis,Include omega-3 fatty acids
36,Keratitis,Limit caffeine and alcohol
37,Keratitis,Stay hydrated
38,Keratitis,Eat a balanced diet
39,Keratitis,Consult a healthcare professional
40,Strabismus,Consume smaller, more frequent meals
41,Strabismus,Avoid trigger foods (spicy, acidic)
42,Strabismus,Include high-fiber foods
43,Strabismus,Limit caffeine and alcohol
44,Strabismus,Stay hydrated
45,Strabismus,Consume probiotics
46,Strabismus,Include lean proteins
47,Strabismus,Include antioxidant-rich foods
48,Strabismus,Limit processed foods
49,Strabismus,Avoid smoking and alcohol
50,Amblyopia,Follow a balanced and nutritious diet
51,Amblyopia,Include lean proteins
